INDEX;BT;LUGOAP;
0;12,55426;15,88573;
1;11,32269;4,97731;
2;10,47444;9,365547;
3;10,53223;8,147774;
4;10,40608;6,393906;
5;11,20583;4,414169;
6;10,37407;6,665924;
7;10,5733;3,846695;
8;10,96193;2,578064;
9;10,92821;2,031784;
10;10,52863;5,011368;
11;10,94395;7,396042;
12;10,94466;15,01534;
13;10,6534;6,846603;
14;11,00958;2,510406;
15;10,61142;2,568573;
16;10,82437;4,975616;
17;10,26294;3,897064;
18;10,38425;3,45575;
19;10,7377;2,282288;
20;10,85522;2,52478;
21;10,49326;3,446747;
22;10,64728;8,312714;
23;10,905;2,694977;
24;10,75934;1,980682;
25;10,59976;5,280212;
26;10,86728;6,092712;
27;10,4617;2,5383;
28;10,70715;5,792847;
29;10,52844;12,61154;
30;10,75412;10,1059;
31;10,71997;7,780029;
32;10,45685;4,003113;
33;10,79926;11,96075;
34;10,48749;17,73248;
35;10,59387;21,0661;
36;11,06714;17,45288;
37;10,44733;4,312683;
38;10,67621;12,66376;
39;10,46075;10,83923;
40;10,47369;6,146301;
41;10,8288;2,471191;
42;10,48462;14,81537;
43;10,27594;3,904053;
44;10,82117;4,098877;
45;10,52478;2,275208;
46;10,47577;10,06421;
47;10,47607;5,283936;
48;10,40814;2,771851;
49;10,60706;11,95294;
