INDEX;BT;QGOAP;
0;3,059564;1,640434;
1;2,140973;1,139026;
2;2,64467;1,375328;
3;2,601116;1,978883;
4;2,326712;1,473286;
5;2,338694;2,261305;
6;2,229357;2,030643;
7;2,559355;1,500645;
8;3,393688;1,486309;
9;2,523941;1,556057;
10;2,437401;1,842598;
11;2,775349;1,604649;
12;1,392776;1,527222;
13;1,661179;1,398823;
14;2,784798;2,835197;
15;2,171837;1,508163;
16;1,921288;1,178711;
17;1,885315;1,714684;
18;1,498093;2,081909;
19;2,420219;1,699776;
20;1,991638;1,268364;
21;1,871216;1,808784;
22;2,551842;2,508156;
23;1,90757;1,432426;
24;2,842873;1,577126;
25;1,492569;1,907433;
26;3,648163;2,011833;
27;2,93676;1,363235;
28;1,908264;1,731735;
29;2,693359;1,746643;
30;1,98526;1,434738;
31;1,627335;2,972656;
32;1,592377;1,707626;
33;1,56398;1,816025;
34;1,455582;2,024414;
35;2,182449;1,757553;
36;1,683716;1,836273;
37;1,73497;2,305038;
38;2,491043;1,18895;
39;3,073975;1,94603;
40;3,025284;1,694702;
41;2,54567;1,59433;
42;1,302872;1,837128;
43;2,312088;1,527908;
44;1,315628;1,684372;
45;1,436737;2,043274;
46;2,350983;1,489014;
47;2,132599;2,287399;
48;2,333694;1,526306;
49;2,186142;1,233856;
50;2,227448;1,452545;
51;2,304749;1,355255;
52;1,501083;1,378906;
53;1,342056;1,377945;
54;2,248993;2,351013;
55;1,456802;1,543198;
56;1,476837;1,703156;
57;2,241028;2,198975;
58;1,930099;2,2099;
59;2,838196;1,301804;
60;2,357132;1,422867;
61;2,509781;1,250214;
62;2,161255;1,538742;
63;1,551727;1,26828;
64;2,476166;1,223831;
65;2,395599;1,344391;
66;2,56189;2,118103;
67;1,043579;1,116425;
68;1,833405;1,266602;
69;2,50827;1,411713;
70;1,050018;1,350006;
71;1,897736;1,502258;
72;2,596588;1,403412;
73;2,560089;1,4599;
74;2,575012;1,524994;
75;2,06781;1,492188;
76;2,39447;1,625519;
77;2,245728;1,514282;
78;2,410461;2,249542;
79;2,555328;1,964661;
80;2,619141;2,160858;
81;3,226929;1,473053;
82;3,570343;1,729675;
83;1,945282;1,154724;
84;1,557648;1,322327;
85;2,803009;1,657013;
86;1,622955;1,397034;
87;2,592529;1,647461;
88;1,656219;1,823792;
89;3,526276;1,493713;
90;2,426758;2,173248;
91;1,037659;1,382324;
92;3,119354;1,540649;
93;2,137482;1,222534;
94;1,535583;1,224396;
95;1,944458;1,11554;
96;1,806885;2,253113;
97;2,257629;1,382385;
98;2,683319;1,496674;
99;2,083099;1,096893;
100;3,453674;1,506317;
101;2,417267;2,022736;
102;2,186401;2,5336;
103;2,390442;1,629578;
104;2,196381;1,363617;
105;2,713898;1,806091;
106;1,993378;1,286621;
107;2,283966;1,216034;
108;2,54837;1,851624;
109;2,39975;1,400238;
110;1,968475;1,491547;
111;1,593628;1,386353;
112;3,017365;0,002624512;
113;1,208069;1,411957;
