INDEX;BT;QGOAP;
0;2,815886;1,604113;
1;2,965993;1,734006;
2;2,691407;1,388591;
3;1,439857;2,100142;
4;2,95009;1,549908;
5;2,442509;1,357491;
6;1,43022;1,689779;
7;2,468225;1,631773;
8;2,083786;2,316212;
9;1,47139;1,628609;
10;2,193733;1,586266;
11;2,206848;1,473152;
12;2,307957;2,252041;
13;2,401321;1,798676;
14;2,395149;1,484852;
15;2,494785;2,28521;
16;2,328217;1,291786;
17;1,408577;2,151421;
18;2,719543;1,700455;
19;1,706551;1,97345;
20;3,307152;2,112846;
21;2,067871;1,632126;
22;2,227295;1,652702;
23;2,502823;1,577179;
24;2,449005;1,610992;
25;2,475906;1,724091;
26;2,328644;1,591354;
27;1,84417;2,035828;
28;2,664688;1,75531;
29;2,585968;1,914032;
30;4,406418;1,593582;
31;2,639542;2,140457;
32;2,173431;1,54657;
33;2,510239;1,689758;
34;2,009735;2,250259;
35;2,407379;1,792618;
36;2,04303;1,736969;
37;2,41954;1,94046;
38;2,16127;1,718735;
39;2,750259;1,609726;
40;2,053101;1,8069;
41;2,324463;2,015533;
42;1,490768;1,369232;
43;2,210159;1,349838;
44;2,276306;1,403702;
45;2,126236;1,533768;
46;2,553589;1,506409;
47;2,504593;1,355392;
48;2,077042;2,522964;
49;2,990173;1,389832;
50;2,284302;1,655685;
51;3,435074;1,444931;
52;2,220779;1,79921;
53;2,086609;1,273392;
54;1,749878;1,270126;
55;2,854858;2,125137;
56;2,749802;1,550201;
57;2,202225;1,877777;
58;2,032822;1,627167;
59;3,399841;1,760162;
60;2,221619;1,518387;
61;3,38063;1,619354;
62;2,645157;1,654846;
63;3,158447;2,461548;
64;1,557983;1,282013;
65;2,700165;2,159851;
66;2,733795;1,946198;
67;2,532196;1,427795;
68;2,615204;1,924805;
69;3,017273;1,90271;
70;2,179138;1,740875;
71;1,500549;2,079437;
72;2,008698;2,31131;
73;2,240753;1,959229;
74;1,848999;1,951019;
75;2,7164;1,983582;
76;1,490417;2,149597;
77;2,835938;1,244049;
78;2,886963;1,953033;
79;2,211395;1,828613;
80;2,045898;1,414093;
81;2,364136;1,575867;
82;1,388397;1,93161;
83;2,619751;1,580231;
84;1,442078;1,717926;
85;1,376892;1,483124;
86;2,224518;1,615479;
87;1,349274;2,190704;
88;2,292938;1,787079;
89;1,411621;2,268372;
90;2,436951;2,103058;
91;1,451355;1,748627;
92;1,506287;1,433716;
93;2,336243;2,163757;
94;2,967346;1,512665;
95;2,467438;1,852539;
96;2,701447;1,938568;
97;1,469604;1,710388;
98;1,637512;2,162476;
99;2,392487;1,967529;
