INDEX;BT;QGOAP;
0;1,579865;1,660134;
1;2,29214;2,027858;
2;2,783253;1,596745;
3;2,113163;1,266835;
4;1,649834;2,470165;
5;2,030201;1,629799;
6;3,097084;1,782913;
7;2,378012;1,361988;
8;2,592739;1,947258;
9;2,828629;1,331371;
10;2,415634;1,604362;
11;1,50906;1,590939;
12;2,000694;1,719307;
13;2,351208;1,52879;
14;2,193924;1,806076;
15;1,307957;1,452042;
16;2,129269;1,550728;
17;2,557457;1,422546;
18;2,081909;1,538086;
19;2,461365;1,418633;
20;2,189621;1,950378;
21;2,525909;1,334091;
22;2,365433;1,234566;
23;2,263168;1,236832;
24;2,529282;1,390717;
25;2,210632;1,349365;
26;2,158318;1,361679;
27;1,533188;1,666817;
28;1,641899;1,258095;
29;2,794998;2,385002;
30;2,463326;1,376671;
31;2,344429;1,475571;
32;2,440262;1,879738;
33;2,484375;1,435623;
34;2,534073;1,985931;
35;1,342072;1,837921;
36;1,609253;2,310745;
37;2,803543;1,616455;
38;2,222687;1,777313;
39;1,622971;1,47702;
40;2,077469;1,622543;
41;2,620911;1,779083;
42;1,772461;1,407532;
43;2,098129;1,581879;
44;2,545151;1,734848;
45;2,121384;1,458603;
46;2,151642;1,628357;
47;2,337509;1,44249;
48;2,101227;1,738785;
49;2,26564;1,434357;
50;2,704819;2,135178;
51;2,761246;2,478745;
52;2,241562;1,678436;
53;2,22052;1,379486;
54;2,318954;1,321045;
55;3,269302;1,610687;
56;2,350052;1,629959;
57;2,037582;1,542404;
58;2,013138;1,706863;
59;1,490662;1,869339;
60;2,010895;1,509109;
61;1,660812;1,27919;
62;2,140747;1,519241;
63;1,91449;2,105515;
64;2,055862;1,284134;
65;2,266754;2,433243;
66;1,58577;1,774231;
67;2,118652;1,56134;
68;2,575897;1,364105;
69;3,614777;2,125214;
70;2,121185;1,618835;
71;2,499054;2,200928;
72;3,099274;1,400726;
73;2,177765;2,102234;
74;2,011993;1,608002;
75;2,592896;1,927124;
76;2,88324;1,496735;
77;2,64093;1,479065;
78;1,591888;1,768127;
79;2,727081;1,392914;
80;2,150391;2,349609;
81;2,394287;1,465698;
82;1,540436;1,899567;
83;1,491333;1,908661;
84;1,875549;1,924469;
85;2,060822;1,739166;
86;3,048035;2,271973;
87;2,626862;2,133118;
88;3,748535;1,471466;
89;2,319489;1,620514;
90;2,517151;1,502869;
91;1,934265;2,065704;
92;1,875122;2,384888;
93;2,177124;2,142883;
94;2,12088;1,999115;
95;2,075562;1,744446;
96;2,897766;1,722229;
97;2,058105;2,941895;
98;1,876678;3,1633;
99;2,489532;1,770477;
