INDEX;TOTAL ENEMIES;GOAP ENEMIES;GOAP TIME;QGOAP ENEMIES;QGOAP TIME;
0;14;10;6,449;9;7,102;
1;11;3;20,468;10;3,626;
2;12;5;14,126;8;7,579;
3;11;5;16,98;0;64,661;
4;13;5;12,021;9;5,386;
5;12;7;11,33;8;8,444;
6;12;5;12,541;8;6,665;
7;14;7;14,957;5;10,691;
8;16;12;6,14;12;4,448;
9;14;8;17,502;9;6,503;
10;15;9;30,617;12;7,18;
11;14;9;30,928;10;6,098;
12;12;7;14,863;11;4,903;
13;11;7;15,674;0;17,489;
14;13;8;14,36;9;6,249;
15;9;0;39,465;6;5,594;
16;13;0;101,156;4;11,114;
17;13;8;9,94;8;6,008;
18;11;0;59,282;5;9,875;
19;15;7;13,811;13;4,37;
20;10;7;9,54;7;4,702;
21;15;11;13,093;12;3,564;
22;9;0;9,443;6;3,477;
23;15;4;11,333;8;8,571;
24;13;5;48,898;9;5,188;
25;16;6;13,413;14;3,915;
26;15;13;8,512;12;6,488;
27;13;0;35,642;8;6,09;
28;13;9;6,517;8;5,847;
29;12;3;8,637;10;3,974;
30;10;7;5,897;5;4,182;
31;9;0;21,569;5;4,734;
32;10;5;14,535;5;5,737;
33;11;0;68,908;6;5,311;
34;12;9;7,448;5;10,445;
35;12;9;8,71;6;5,52;
36;13;7;6,764;8;14,096;
37;11;4;19,646;5;9,423;
38;14;6;21,481;7;5,928;
39;12;5;12,241;6;6,58;
40;14;7;12,003;7;11,434;
41;13;2;17,006;12;2,447;
42;9;3;17,141;6;5,372;
43;11;0;21,291;5;10,749;
44;12;8;8,775;4;11,075;
45;9;6;16,22;0;8,65;
46;13;7;15,222;4;8,273;
47;12;5;8,388;8;6,259;
48;14;7;15,007;10;2,962;
49;12;8;17,83;11;3,762;
